iter	Passed	Remaining
0	1	132
1	2	113
2	3	107
3	4	109
4	5	113
5	7	112
6	8	112
7	9	110
8	10	107
9	11	104
10	12	102
11	13	100
12	14	99
13	16	100
14	17	98
15	18	97
16	19	95
17	20	92
18	21	90
19	22	88
20	23	86
21	24	85
22	25	84
23	26	82
24	27	81
25	28	80
26	29	79
27	30	79
28	32	80
29	34	79
30	35	79
31	36	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	71
37	44	72
38	45	71
39	46	70
40	47	69
41	49	68
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	61
48	57	60
49	59	59
50	60	57
51	61	56
52	62	55
53	62	53
54	63	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	71	45
61	71	44
62	73	42
63	74	41
64	74	40
65	75	39
66	76	37
67	78	36
68	79	35
69	81	35
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	91	25
78	92	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	106	10
91	107	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	117	0
