iter	Passed	Remaining
0	141	141826
1	143	71645
2	145	48382
3	147	36792
4	149	29672
5	150	24900
6	151	21425
7	151	18826
8	153	16912
9	155	15431
10	156	14113
11	157	12970
12	158	12001
13	159	11241
14	160	10563
15	162	9965
16	162	9414
17	163	8940
18	164	8499
19	165	8098
20	165	7737
21	166	7415
22	167	7128
23	168	6850
24	169	6602
25	170	6369
26	170	6158
27	171	5953
28	172	5764
29	172	5585
30	173	5422
31	174	5267
32	174	5118
33	175	4979
34	175	4847
35	176	4723
36	176	4606
37	177	4493
38	178	4386
39	178	4284
40	179	4187
41	179	4095
42	180	4006
43	180	3922
44	181	3843
45	181	3772
46	182	3699
47	183	3631
48	183	3567
49	184	3505
50	185	3448
51	185	3390
52	186	3335
53	187	3283
54	188	3231
55	188	3180
56	189	3129
57	189	3081
58	190	3034
59	190	2988
60	191	2944
61	191	2901
62	192	2860
63	192	2819
64	193	2780
65	193	2743
66	194	2706
67	194	2670
68	195	2635
69	195	2603
70	196	2573
71	197	2543
72	198	2519
73	199	2494
74	200	2469
75	201	2445
76	201	2420
77	202	2395
78	203	2369
79	203	2343
80	204	2317
81	204	2292
82	205	2265
83	205	2241
84	206	2218
85	206	2195
86	207	2172
87	207	2151
88	208	2130
89	208	2109
90	209	2088
91	209	2069
92	210	2049
93	210	2031
94	211	2013
95	212	1997
96	212	1982
97	213	1965
98	214	1948
99	214	1934
100	215	1920
101	216	1909
102	217	1896
103	218	1882
104	219	1868
105	219	1854
106	220	1841
107	221	1827
108	221	1812
109	222	1798
110	222	1784
111	223	1770
112	223	1757
113	224	1744
114	225	1732
115	225	1720
116	226	1708
117	227	1697
118	227	1686
119	228	1674
120	228	1663
121	229	1651
122	230	1640
123	231	1632
124	231	1622
125	232	1612
126	232	1600
127	233	1590
128	234	1580
129	234	1570
130	235	1560
131	235	1550
132	236	1540
133	236	1530
134	237	1520
135	237	1511
136	238	1501
137	238	1492
138	239	1482
139	240	1474
140	240	1466
141	241	1457
142	241	1449
143	242	1441
144	243	1434
145	244	1427
146	244	1420
147	245	1412
148	245	1404
149	246	1398
150	247	1390
151	247	1382
152	248	1374
153	248	1366
154	249	1359
155	249	1351
156	250	1344
157	250	1336
158	251	1329
159	251	1322
160	252	1314
161	252	1307
162	253	1300
163	253	1293
164	254	1286
165	254	1280
166	255	1275
167	256	1269
168	256	1263
169	257	1258
170	258	1252
171	259	1247
172	259	1242
173	260	1237
174	261	1231
175	261	1225
176	262	1219
177	262	1213
178	263	1207
179	263	1202
180	264	1196
181	264	1190
182	265	1184
183	265	1179
184	266	1173
185	266	1168
186	267	1162
187	267	1157
188	268	1151
189	269	1147
190	269	1142
191	270	1137
192	270	1132
193	271	1127
194	272	1124
195	273	1120
196	273	1116
197	274	1112
198	275	1108
199	276	1104
200	276	1100
201	277	1095
202	277	1091
203	278	1086
204	279	1082
205	279	1077
206	280	1072
207	280	1068
208	281	1063
209	281	1059
210	282	1054
211	282	1050
212	283	1045
213	283	1041
214	284	1037
215	284	1034
216	285	1030
217	286	1026
218	286	1023
219	287	1019
220	288	1015
221	288	1012
222	289	1009
223	290	1005
224	290	1002
225	291	998
226	292	994
227	292	990
228	293	986
229	293	982
230	294	978
231	294	975
232	295	971
233	295	967
234	296	963
235	296	960
236	297	956
237	297	952
238	298	948
239	298	945
240	299	942
241	300	940
242	300	937
243	301	934
244	302	931
245	303	929
246	303	926
247	304	923
248	305	920
249	305	916
250	306	913
251	306	910
252	307	906
253	307	903
254	308	900
255	308	897
256	309	893
257	309	890
258	310	887
259	310	884
260	311	881
261	311	877
262	312	874
263	312	871
264	313	868
265	313	866
266	314	863
267	315	861
268	315	858
269	316	855
270	317	852
271	317	850
272	318	848
273	319	845
274	319	843
275	320	840
276	321	837
277	321	835
278	322	832
279	322	829
280	323	826
281	323	823
282	324	820
283	324	818
284	324	815
285	325	812
286	326	809
287	326	807
288	327	804
289	327	801
290	328	799
291	328	796
292	329	794
293	330	792
294	330	790
295	331	789
296	332	787
297	333	785
298	334	783
299	334	781
300	335	779
301	336	776
302	336	774
303	337	772
304	337	769
305	338	767
306	338	764
307	339	762
308	339	760
309	340	757
310	340	755
311	341	752
312	341	750
313	342	747
314	342	745
315	343	744
316	344	742
317	345	740
318	345	738
319	346	736
320	347	734
321	347	732
322	348	730
323	349	729
324	350	728
325	351	726
326	351	724
327	352	722
328	352	719
329	353	717
330	354	715
331	354	713
332	355	711
333	355	709
334	356	706
335	356	704
336	357	702
337	357	700
338	358	698
339	359	696
340	359	695
341	360	693
342	361	691
343	361	689
344	362	688
345	363	686
346	363	684
347	364	682
348	364	680
349	365	678
350	366	676
351	366	674
352	367	672
353	367	670
354	368	668
355	368	666
356	369	664
357	369	662
358	370	660
359	370	658
360	371	656
361	371	654
362	372	652
363	372	651
364	373	649
365	374	648
366	374	646
367	375	645
368	377	644
369	378	643
370	378	641
371	379	640
372	379	638
373	380	636
374	380	634
375	381	632
376	381	630
377	382	629
378	382	627
379	383	625
380	383	623
381	384	621
382	384	620
383	385	618
384	385	616
385	386	614
386	387	613
387	388	612
388	389	611
389	389	609
390	390	608
391	391	607
392	392	606
393	393	604
394	394	603
395	394	602
396	395	600
397	395	598
398	396	597
399	397	595
400	397	593
401	398	592
402	398	590
403	399	588
404	399	587
405	400	585
406	400	583
407	401	582
408	401	580
409	402	579
410	403	577
411	403	576
412	404	575
413	405	574
414	406	572
415	406	571
416	407	569
417	408	568
418	408	566
419	409	565
420	409	563
421	410	561
422	410	560
423	411	558
424	411	557
425	412	555
426	412	554
427	413	552
428	413	550
429	414	549
430	414	547
431	415	546
432	415	544
433	416	543
434	417	541
435	417	540
436	418	539
437	419	537
438	419	536
439	420	535
440	421	533
441	421	532
442	422	531
443	423	530
444	423	528
445	424	527
446	424	525
447	425	524
448	425	522
449	426	521
450	426	519
451	427	518
452	428	516
453	428	515
454	429	513
455	429	512
456	430	511
457	430	509
458	431	508
459	432	507
460	432	506
461	433	504
462	434	503
463	434	502
464	435	501
465	436	500
466	437	498
467	437	497
468	438	496
469	438	494
470	439	493
471	439	491
472	440	490
473	440	489
474	441	487
475	441	486
476	442	484
477	442	483
478	443	482
479	443	480
480	444	479
481	444	477
482	445	476
483	445	475
484	446	474
485	447	473
486	448	472
487	448	470
488	449	470
489	450	468
490	451	467
491	451	466
492	452	465
493	452	463
494	453	462
495	453	461
496	454	459
497	454	458
498	455	457
499	455	455
500	456	454
501	457	453
502	457	452
503	458	450
504	458	449
505	459	448
506	459	446
507	460	445
508	460	444
509	461	443
510	461	441
511	462	440
512	462	439
513	463	438
514	464	437
515	465	436
516	466	435
517	466	434
518	467	433
519	467	431
520	468	430
521	468	429
522	469	427
523	469	426
524	470	425
525	470	424
526	471	422
527	471	421
528	472	420
529	472	419
530	473	417
531	473	416
532	474	415
533	474	414
534	475	413
535	476	412
536	476	411
537	477	410
538	478	409
539	479	408
540	479	407
541	480	406
542	481	404
543	481	403
544	482	402
545	482	401
546	483	400
547	483	399
548	484	397
549	484	396
550	485	395
551	485	394
552	486	393
553	486	391
554	487	390
555	487	389
556	488	388
557	488	387
558	489	386
559	490	385
560	490	384
561	491	383
562	492	382
563	492	381
564	493	380
565	494	379
566	495	378
567	496	377
568	496	376
569	497	375
570	498	374
571	498	373
572	499	372
573	499	371
574	500	369
575	500	368
576	501	367
577	501	366
578	502	365
579	502	364
580	503	363
581	504	362
582	504	361
583	505	360
584	506	359
585	506	358
586	507	356
587	508	355
588	508	354
589	509	353
590	510	353
591	510	352
592	511	351
593	511	349
594	512	348
595	512	347
596	513	346
597	513	345
598	514	344
599	515	343
600	515	342
601	516	341
602	516	340
603	517	339
604	517	337
605	518	336
606	518	335
607	519	334
608	520	333
609	520	332
610	521	331
611	522	330
612	522	330
613	523	329
614	524	328
615	525	327
616	525	326
617	526	325
618	526	324
619	527	323
620	527	322
621	528	321
622	528	319
623	529	318
624	529	317
625	530	316
626	530	315
627	531	314
628	531	313
629	532	312
630	532	311
631	533	310
632	534	309
633	534	308
634	535	307
635	535	306
636	536	305
637	537	304
638	538	304
639	539	303
640	539	302
641	540	301
642	541	300
643	541	299
644	542	298
645	543	297
646	543	296
647	544	295
648	544	294
649	545	293
650	545	292
651	546	291
652	547	290
653	547	289
654	548	288
655	548	287
656	549	286
657	550	286
658	551	285
659	551	284
660	552	283
661	553	282
662	553	281
663	554	280
664	555	279
665	555	278
666	556	277
667	556	276
668	557	275
669	557	274
670	558	273
671	558	272
672	559	271
673	559	270
674	560	269
675	560	268
676	561	267
677	561	266
678	562	265
679	563	265
680	564	264
681	564	263
682	565	262
683	566	261
684	566	260
685	567	259
686	568	258
687	568	257
688	569	257
689	570	256
690	570	255
